1,Ajmer,13715,2,309,238,115
2,Alwar,8459,0,51,28,18
3,Banswara,2817,0,85,72,72
4,Baran,2084,0,5,4,3
5,Barmer,3865,4,91,1,1
6,Bharatpur,9033,2,143,123,117
7,Bhilwara,19248,9,127,56,38
8,Bikaner,7503,7,85,50,42
9,Chittorgarh,7313,4,174,146,102
10,Churu,6301,0,85,50,26
11,Dausa,5583,1,45,30,30
12,Dholpur,3114,2,43,24,24
13,Dungarpur,4394,12,331,9,8
14,Ganganagar,1593,1,2,0,0
15,Hanumangarh,2923,0,14,14,14
16,Jaipur,60121,32,1860,1263,1235
17,Jaisalmer,4363,0,68,44,44
18,Jalore,5560,0,154,20,20
19,Jhalawar,7090,12,71,48,47
20,Jhunjhunu,8183,5,96,52,47
21,Jodhpur,64008,7,1278,994,989
22,Karauli,1502,0,10,4,3
23,Kota,21444,10,396,313,200
24,Nagaur,13030,13,404,148,146
25,Pali,6418,23,360,80,80
26,Pratapgarh,1388,1,13,3,3
27,Rajsamand,2808,11,126,32,30
28,S. Madhopur,3887,1,19,13,13
29,Sikar,8858,25,151,28,28
30,Sirohi,5756,27,139,6,6
31,Tonk,7203,0,159,158,155
32,Udaipur,14274,25,517,120,6
,Other District/State Sample,3321,0,12,0,0
